,,,Q_5142,Q_5257,Q_5143,"External ID","Alert Times",Model,OS
"Survey Date Submitted","Survey Date Completed","Participant ID","What time do you you typically get up in the morning?","What time do you typically get up in the morning?","What time do you typically go to bed in the evening?"
"2022-01-04 14:21:12","2022-01-04 14:21:11",bort-ww3rq,680,N/A,1101,N/A,N/A,N/A,N/A
"2022-01-05 16:58:42","2022-01-05 16:58:41",bort-ww3rq,1318,N/A,1318,N/A,N/A,N/A,N/A
"2022-01-06 15:28:52","2022-01-06 15:28:51",samp-2hj6a,448,N/A,1408,N/A,N/A,N/A,N/A
"2022-01-10 14:53:17","2022-01-10 14:53:17",ceded-oo6uq,N/A,653,1313,N/A,N/A,N/A,N/A
"2022-01-14 14:40:37","2022-01-14 14:40:37",dags-z7z9q,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2022-01-14 15:17:50","2022-01-14 15:17:49",dated-h4f3m,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2022-01-14 15:31:45","2022-01-14 15:31:44",dated-h4f3m,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2022-01-14 15:41:14","2022-01-14 15:41:13",faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2022-01-17 14:05:34","2022-01-17 14:05:34",amies-9jf76,N/A,845,1085,N/A,N/A,N/A,N/A
"2022-01-17 15:56:05","2022-01-17 15:56:05",seam-7yh4g,N/A,955,N/A,N/A,N/A,N/A,N/A
"2022-01-17 17:01:10","2022-01-17 17:01:11",clade-69l6u,N/A,1025,1381,N/A,N/A,N/A,N/A
"2022-01-18 15:03:46","2022-01-18 15:03:45",kepi-dz1yh,N/A,835,660,N/A,N/A,SM-G991U,12
"2022-01-18 16:08:14","2022-01-18 16:08:14",fuzil-tq6gu,N/A,375,1380,N/A,N/A,N/A,N/A
"2022-01-18 16:39:17","2022-01-18 16:39:17",chart-pl3l9,N/A,N/A,N/A,N/A,N/A,SM-J737V,9
"2022-01-18 17:51:01","2022-01-18 17:51:02",clag-nb343,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2022-01-18 17:55:05","2022-01-18 17:55:05",clag-nb343,N/A,714,N/A,N/A,N/A,N/A,N/A
"2022-01-18 18:04:32","2022-01-18 18:04:32",brio-k9g9p,N/A,604,1324,N/A,N/A,"Pixel 2 XL",11
"2022-01-20 16:32:00","2022-01-20 16:31:59",embar-rq0cp,N/A,691,1171,N/A,N/A,SM-G781U,12
"2022-01-25 12:34:43","2022-01-25 12:34:43",ensue-ch7rp,N/A,480,1320,N/A,"2022-01-25 12:34:06","iPhone12,1","iOS 15.1"
"2022-01-25 12:59:01","2022-01-25 12:59:00",lune-7s876,N/A,480,1320,N/A,N/A,"iPhone12,1","iOS 15.1"
"2022-01-25 13:10:40","2022-01-25 13:10:40",bends-bl9ik,N/A,480,1320,N/A,N/A,"Mi 9T Pro",10
"2022-02-04 12:02:17","2022-02-04 12:02:15",embar-rq0cp,N/A,540,1320,N/A,N/A,SM-G781U,12
"2022-02-07 14:12:38","2022-02-07 14:12:37",await-gg4e8,N/A,480,1320,N/A,N/A,"iPhone12,1","iOS 15.1"
"2022-02-09 16:10:53","2022-02-09 16:10:53",embar-rq0cp,N/A,540,1320,N/A,N/A,SM-G781U,12
"2022-02-09 19:19:30","2022-02-09 19:19:30",embar-rq0cp,N/A,540,1320,N/A,N/A,SM-G781U,12
