,,,Q_5040,Q_5451,Q_5309,Q_5300,Q_5145,Q_5061,Q_5041,Q_5452,Q_5164,Q_5162,Q_5062,Q_5042,Q_5063,Q_5475,Q_5163,Q_5064,Q_5043,Q_5044,Q_5065,Q_5045,Q_5046,Q_5047,Q_5048,Q_5049,Q_5050,Q_5051,Q_5052,Q_5053,Q_5264,Q_5467,Q_5054,Q_5055,Q_5056,Q_5057,Q_5058,Q_5059,Q_5060,"External ID","Alert Times",Model,OS
,,,deprecated,deprecated,deprecated,deprecated,deprecated,deprecated,deprecated,deprecated,deprecated,anxious,deprecated,happy,deprecated,deprecated,deprecated,deprecated,lonely,helpful,deprecated,energetic,annoyed,carefree,forgetful,sympathetic,confused,hopeful,exhausted,deprecated,deprecated,pain_level_now,stressful_now,stressful_now_impact,deprecated,overall_mood,personal_worries,train_of_thought,preoccupied
"Survey Date Submitted","Survey Date Completed","Participant ID","Please tell us how are you are feeling at <u>THE PRESENT MOMENT</u>. Use the sliding bars to describe how you feel regarding each common emotion.","<b>Please remember to complete your food records for today.</b> It is best to enter foods and beverages as soon as you consume them.","You should only be seeing this on Sunday, Monday, or Tuesday","Please tell us how you are feeling at <u>THE PRESENT MOMENT</u>. Use the sliding bars to describe how you feel regarding each common emotion.","Overall, were you distracted while completing the brain games?","Thank you for completing the survey!<br><br>Now it's time to play some brain games!","Do you feel ANXIOUS?","To start data entry, tap the round fork and spoon icon on the study home screen. Make sure to include the time eaten, meal type, place prepared, food description, and amount. The completeness of your dietary information is very important to us. Thank you!","Thank you for taking the time to complete the survey and brain games!<br><br>Tap the arrow button below to close and exit.","Do you feel ANXIOUS?","Tap the arrow to move on to the next brain game.","Do you feel HAPPY?","Tap the arrow to move on to the next brain game.","Tap the arrow to move on to the next brain game.","Thank you for completing the brain games!<br><br>Tap the arrow button below to exit.","Thank you for completing the brain games and survey questions! Tap the arrow button to continue.","Do you feel LONELY?","Do you feel HELPFUL?","Thank you for taking the time to complete the brain games!<br><br>Tap the arrow button below to exit.","Do you feel ENERGETIC?","Do you feel ANNOYED?","Do you feel CAREFREE?","Do you feel FORGETFUL?","Do you feel SYMPATHETIC?","Do you feel CONFUSED?","Do you feel HOPEFUL?","Do you feel EXHAUSTED?","Rate your level of pain right now.","Rate your level of pain right now.","Rate your level of pain right now.","Are you experiencing a stressful situation or problem now?","How much of an impact did the stress have?","In the next few questions, please think about your thoughts in the 5 minutes prior to starting this survey.","Please rate the thoughts you experienced in the 5 minutes prior to the start of this survey in terms of your overall valence?","During the 5 minutes prior to the start this survey, were you thinking about personal problems or worries?","During the 5 minutes prior to the start of this survey, were you experiencing a train of thought that you couldn't get out of your head?","During the 5 minutes prior to the start of this survey, were you preoccupied with thoughts of something about to happen or that might happen in the future?"
"2022-01-06 10:17:55","2022-01-06 10:17:53",bort-ww3rq,N/A,N/A,N/A,N/A,10.00,N/A,N/A,N/A,N/A,10.00,2828c558-4544-4feb-b87d-7d8469ae3d0a,10.00,b076d231-0c41-419a-9241-dbc61c02a65c,N/A,N/A,N/A,10.00,10.00,N/A,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,N/A,N/A,2,N/A,N/A,10.00,10.00,10.00,10.00,N/A,N/A,N/A,N/A
"2022-01-06 13:28:58","2022-01-06 13:28:56",bort-ww3rq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,0.00,N/A,N/A,N/A,N/A,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2022-01-14 16:14:44","2022-01-14 16:14:43",faced-rx75a,N/A,N/A,N/A,N/A,7.00,N/A,N/A,N/A,N/A,N/A,03b008e8-5c72-40eb-9247-766065176ae3,N/A,d844e508-0de2-4499-b596-e3e3b95ac230,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.00,N/A,2,N/A,N/A,N/A,N/A,7.00,7.00,N/A,N/A,N/A,N/A
"2022-01-18 16:06:40","2022-01-18 16:06:33",kepi-dz1yh,N/A,N/A,N/A,N/A,8.00,N/A,N/A,N/A,N/A,6.00,24ccb0f8-8fb8-41e6-a5f7-d9bca573458b,5.00,308a5d9e-068d-49c7-ae0f-57f044c1838a,N/A,N/A,N/A,7.00,7.00,N/A,7.00,6.00,7.00,6.00,6.00,3.00,4.00,3.00,N/A,4.00,N/A,1,4.00,N/A,7.00,4.00,5.00,5.00,N/A,N/A,SM-G991U,12
"2022-01-18 17:31:40","2022-01-18 17:31:39",ruby-dj2nb,NA,N/A,N/A,N/A,7.85,NA,N/A,N/A,NA,7.02,D8D8B77C-5EA3-4F93-8562-018FC927624A,7.36,EFFEF5B2-2BE8-45F4-B41A-E5D52B8B9837,N/A,NA,N/A,7.29,7.98,N/A,7.60,7.23,7.11,7.52,7.18,6.90,6.91,7.07,N/A,7.84,N/A,2,N/A,NA,7.48,7.30,7.81,7.74,N/A,N/A,N/A,N/A
"2022-01-19 16:29:32","2022-01-19 16:29:30",brio-k9g9p,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.00,N/A,7.00,N/A,N/A,N/A,N/A,7.00,7.00,N/A,7.00,6.00,8.00,8.00,8.00,8.00,8.00,8.00,N/A,8.00,N/A,2,N/A,N/A,8.00,8.00,8.00,8.00,N/A,N/A,"Pixel 2 XL",11
"2022-02-04 12:18:16","2022-02-04 12:18:14",embar-rq0cp,N/A,N/A,N/A,N/A,8.00,N/A,N/A,N/A,N/A,3.00,e9c30a6e-b3ee-464e-8765-865b75d6ea9c,5.00,308daada-5e74-4528-abdc-25e34dcf1cfa,N/A,N/A,N/A,7.00,7.00,N/A,5.00,5.00,6.00,5.00,8.00,7.00,8.00,2.00,N/A,7.00,N/A,2,N/A,N/A,4.00,8.00,3.00,8.00,N/A,N/A,SM-G781U,12
"2022-02-04 17:02:29","2022-02-04 17:02:27",embar-rq0cp,N/A,N/A,N/A,N/A,7.00,N/A,N/A,N/A,N/A,7.00,f6b92d5a-d0d5-47c2-a35e-cd5d3e913782,7.00,1bff2196-0d3b-4660-9024-d08f6680f3fa,N/A,N/A,N/A,8.00,8.00,N/A,8.00,3.00,8.00,3.00,8.00,8.00,8.00,8.00,N/A,8.00,N/A,2,N/A,N/A,7.00,8.00,8.00,8.00,N/A,N/A,SM-G781U,12
"2022-02-09 16:06:54","2022-02-09 16:06:53",embar-rq0cp,N/A,N/A,N/A,N/A,7.00,N/A,N/A,N/A,N/A,7.00,df34cb15-73c2-488f-9a03-4c5c2b8e33b5,7.00,9290af6e-f0b7-4e52-9eeb-b6f354f3aa41,N/A,N/A,N/A,7.00,8.00,N/A,8.00,7.00,4.00,7.00,7.00,6.00,7.00,7.00,N/A,N/A,7.00,2,N/A,N/A,8.00,7.00,7.00,7.00,N/A,N/A,SM-G781U,12
"2022-02-14 12:18:01","2022-02-14 12:17:58",embar-rq0cp,N/A,N/A,N/A,N/A,5.00,N/A,N/A,N/A,N/A,6.00,54b06de8-9398-46b7-b336-deb8d2eabeb9,7.00,621149ec-4907-4d3e-bb21-34d33b1c51d7,bd9b8c1c-e87a-426d-aee7-e27e4db4b469,N/A,N/A,7.00,7.00,N/A,7.00,5.00,6.00,8.00,3.00,7.00,7.00,8.00,N/A,N/A,7.00,2,N/A,N/A,8.00,8.00,8.00,8.00,N/A,"2022-02-11 14:01:42",SM-G781U,12
