2022-01-04 14:21:12,2022-01-04 14:21:11,bort-ww3rq,Q_5142,Q_5257,Q_5143,External ID,Alert Times,Model,OS
2022-01-05T16:58:42Z,2022-01-05T16:58:41Z,bort-ww3rq,1318,N/A,1318,N/A,N/A,N/A,N/A
2022-01-06T15:28:52Z,2022-01-06T15:28:51Z,samp-2hj6a,448,N/A,1408,N/A,N/A,N/A,N/A
2022-01-10T14:53:17Z,2022-01-10T14:53:17Z,ceded-oo6uq,N/A,653,1313,N/A,N/A,N/A,N/A
2022-01-14T14:40:37Z,2022-01-14T14:40:37Z,dags-z7z9q,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-14T15:17:50Z,2022-01-14T15:17:49Z,dated-h4f3m,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-14T15:31:45Z,2022-01-14T15:31:44Z,dated-h4f3m,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-14T15:41:14Z,2022-01-14T15:41:13Z,faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-17T14:05:34Z,2022-01-17T14:05:34Z,amies-9jf76,N/A,845,1085,N/A,N/A,N/A,N/A
2022-01-17T15:56:05Z,2022-01-17T15:56:05Z,seam-7yh4g,N/A,955,N/A,N/A,N/A,N/A,N/A
2022-01-17T17:01:10Z,2022-01-17T17:01:11Z,clade-69l6u,N/A,1025,1381,N/A,N/A,N/A,N/A
2022-01-18T15:03:46Z,2022-01-18T15:03:45Z,kepi-dz1yh,N/A,835,660,N/A,N/A,SM-G991U,12
2022-01-18T16:08:14Z,2022-01-18T16:08:14Z,fuzil-tq6gu,N/A,375,1380,N/A,N/A,N/A,N/A
2022-01-18T16:39:17Z,2022-01-18T16:39:17Z,chart-pl3l9,N/A,N/A,N/A,N/A,N/A,SM-J737V,9
2022-01-18T17:51:01Z,2022-01-18T17:51:02Z,clag-nb343,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-18T17:55:05Z,2022-01-18T17:55:05Z,clag-nb343,N/A,714,N/A,N/A,N/A,N/A,N/A
2022-01-18T18:04:32Z,2022-01-18T18:04:32Z,brio-k9g9p,N/A,604,1324,N/A,N/A,Pixel 2 XL,11
2022-01-20T16:32:00Z,2022-01-20T16:31:59Z,embar-rq0cp,N/A,691,1171,N/A,N/A,SM-G781U,12
2022-01-25T12:34:43Z,2022-01-25T12:34:43Z,ensue-ch7rp,N/A,480,1320,N/A,2022-01-25 12:34:06,"iPhone12,1",iOS 15.1
2022-01-25T12:59:01Z,2022-01-25T12:59:00Z,lune-7s876,N/A,480,1320,N/A,N/A,"iPhone12,1",iOS 15.1
2022-01-25T13:10:40Z,2022-01-25T13:10:40Z,bends-bl9ik,N/A,480,1320,N/A,N/A,Mi 9T Pro,10
2022-02-04T12:02:17Z,2022-02-04T12:02:15Z,embar-rq0cp,N/A,540,1320,N/A,N/A,SM-G781U,12
2022-02-07T14:12:38Z,2022-02-07T14:12:37Z,await-gg4e8,N/A,480,1320,N/A,N/A,"iPhone12,1",iOS 15.1
2022-02-09T16:10:53Z,2022-02-09T16:10:53Z,embar-rq0cp,N/A,540,1320,N/A,N/A,SM-G781U,12
2022-02-09T19:19:30Z,2022-02-09T19:19:30Z,embar-rq0cp,N/A,540,1320,N/A,N/A,SM-G781U,12
